idade,sexo,raca_cor,serie,turno,nota_portugues,nota_matematica,distorcao_idade_serie,faltas_anuais,repeticoes_anteriores,trabalha,renda_familiar,escolaridade_pai,escolaridade_mae,evasao
16,F,Parda,1ano,matutino,1.92,5.46,1,11,0,0,982,1,2,0
16,M,Parda,2ano,matutino,5.12,9.55,0,8,0,0,1283,0,0,0
16,F,Branca,2ano,noturno,5.71,4.41,0,12,0,1,1726,2,0,1
16,F,Parda,2ano,vespertino,6.89,4.6,0,7,0,0,596,2,3,0
19,M,Branca,3ano,matutino,4.12,3.91,2,16,1,0,1860,0,3,1
17,F,Parda,2ano,vespertino,5.74,9.89,1,8,0,0,744,0,0,0
16,M,Branca,2ano,vespertino,7.48,9.27,0,5,0,0,4139,3,2,0
17,F,Branca,2ano,noturno,6.62,7.18,1,10,0,0,2785,0,1,0
15,F,Branca,1ano,noturno,7.52,4.7,0,9,0,1,546,0,0,1
16,M,Branca,1ano,matutino,3.94,1.91,1,14,0,1,3242,1,1,1
17,F,Amarela,2ano,vespertino,4.92,4.16,1,18,0,1,1678,1,1,1
15,M,Parda,1ano,matutino,6.42,1.11,0,5,0,0,1852,1,2,0
16,M,Branca,2ano,noturno,4.02,2.85,0,14,0,1,1048,0,1,1
18,M,Branca,3ano,matutino,5.21,4.09,1,10,0,0,921,1,2,0
15,M,Preta,1ano,vespertino,7.9,6.44,0,10,0,1,976,3,0,0
15,F,Parda,1ano,vespertino,6.21,6.43,0,14,0,1,565,2,0,0
15,F,Parda,1ano,vespertino,7.17,6.46,0,7,0,0,500,0,2,0
16,M,Parda,1ano,vespertino,9.11,8.31,1,20,0,1,727,2,1,0
17,M,Branca,2ano,vespertino,5.13,4.83,1,19,0,1,724,1,0,0
17,M,Branca,2ano,vespertino,8.96,2.67,1,16,0,1,506,0,2,0
18,F,Branca,3ano,matutino,5.29,2.67,1,23,0,1,1930,2,0,1
16,F,Parda,2ano,matutino,3.06,2.57,0,11,0,0,1473,0,2,0
17,F,Branca,2ano,vespertino,6.4,7.31,1,15,0,0,754,0,1,0
18,M,Branca,3ano,matutino,5.06,3.39,1,16,0,0,944,0,0,0
15,M,Preta,1ano,noturno,3.08,1.4,0,20,0,1,1448,2,3,1
15,M,Branca,1ano,matutino,4.62,6.39,0,2,0,0,677,2,1,0
16,F,Branca,1ano,noturno,4.37,4.59,1,20,0,1,500,2,3,1
17,F,Branca,3ano,matutino,7.16,5.68,0,8,0,0,3156,1,1,0
18,F,Branca,2ano,noturno,9.34,5.88,2,23,1,1,1105,1,2,1
16,F,Parda,1ano,matutino,6.6,3.24,1,8,0,0,1504,1,0,0
16,M,Parda,2ano,vespertino,6.76,9.56,0,10,0,0,1390,0,1,0
17,M,Branca,1ano,matutino,4.35,4.32,2,18,1,0,500,2,1,1
16,F,Branca,2ano,vespertino,4.61,1.27,0,13,0,1,699,2,1,1
16,M,Parda,2ano,matutino,6.84,8.67,0,8,0,0,1199,0,1,0
16,M,Parda,2ano,noturno,6.85,6.96,0,12,0,0,1033,3,0,0
16,M,Branca,1ano,vespertino,8.23,1.53,1,20,0,1,500,1,2,0
18,F,Parda,2ano,noturno,5.21,2.28,2,18,1,0,1594,0,0,1
15,M,Preta,1ano,vespertino,4.68,9.71,0,15,0,1,1911,0,0,0
19,F,Branca,1ano,vespertino,10.0,4.11,4,19,2,0,893,3,1,1
15,F,Parda,1ano,noturno,7.7,3.12,0,7,0,0,2702,2,3,1
18,F,Parda,3ano,matutino,7.51,7.91,1,11,0,0,1856,1,2,0
17,M,Branca,3ano,vespertino,3.53,9.43,0,15,0,1,1651,0,0,0
16,M,Amarela,2ano,matutino,6.42,2.71,0,11,0,0,812,2,3,0
15,F,Parda,1ano,vespertino,8.31,6.6,0,8,0,0,1058,1,0,0
19,M,Branca,3ano,matutino,7.48,7.82,2,20,1,1,2360,1,0,0
17,M,Parda,3ano,matutino,7.81,3.23,0,12,0,1,500,1,0,1
17,M,Branca,3ano,vespertino,5.44,5.26,0,13,0,0,500,0,1,0
16,F,Branca,2ano,vespertino,3.96,2.69,0,15,0,0,874,1,2,1
17,F,Preta,1ano,matutino,4.89,5.0,2,31,1,1,1192,0,2,1
17,F,Parda,1ano,vespertino,6.78,7.6,2,20,1,1,1121,0,1,0
17,F,Branca,3ano,noturno,5.03,6.25,0,8,0,0,1840,3,1,0
17,M,Parda,2ano,matutino,7.68,4.15,1,14,0,1,1470,0,0,0
15,M,Parda,1ano,matutino,6.24,5.74,0,4,0,0,1232,0,0,0
15,M,Branca,1ano,noturno,5.78,0.98,0,16,0,1,952,0,1,1
16,F,Branca,2ano,noturno,5.79,3.91,0,11,0,1,2329,1,0,1
16,M,Preta,1ano,matutino,2.66,10.0,1,16,0,1,3165,0,2,0
18,F,Branca,3ano,vespertino,3.62,6.73,1,17,0,0,956,1,2,0
18,M,Branca,3ano,matutino,8.3,8.02,1,16,0,0,1654,1,0,0
17,M,Parda,3ano,noturno,5.5,3.84,0,9,0,0,986,0,1,0
16,F,Parda,2ano,matutino,5.08,3.45,0,19,0,1,500,2,1,0
16,M,Parda,2ano,matutino,3.39,3.76,0,16,0,1,500,0,1,1
16,M,Preta,2ano,matutino,7.0,5.94,0,6,0,0,3104,0,0,0
17,M,Branca,2ano,vespertino,2.03,9.04,1,12,0,0,2297,0,2,0
16,M,Branca,1ano,matutino,6.86,7.02,1,15,0,0,1672,2,2,0
16,M,Indígena,2ano,noturno,1.58,5.54,0,9,0,0,2693,0,1,0
17,M,Branca,1ano,vespertino,5.9,6.71,2,23,1,1,638,3,1,1
16,M,Preta,2ano,vespertino,7.74,9.41,0,13,0,1,2471,0,2,0
16,F,Parda,1ano,noturno,5.33,3.73,1,17,0,1,1601,1,1,0
15,F,Parda,1ano,matutino,5.78,9.57,0,13,0,0,858,0,3,0
17,M,Branca,1ano,matutino,8.25,6.87,2,12,1,0,500,3,3,0
17,F,Branca,2ano,matutino,2.88,9.14,1,14,0,0,500,1,3,0
16,M,Branca,1ano,noturno,5.41,6.55,1,14,0,0,4796,0,0,0
17,F,Branca,3ano,matutino,4.52,9.23,0,18,0,1,4667,0,2,0
19,F,Parda,2ano,noturno,5.58,6.48,3,28,1,1,500,1,1,1
18,F,Branca,1ano,vespertino,5.71,7.66,3,19,1,0,500,0,0,1
17,M,Branca,2ano,vespertino,7.85,6.88,1,8,0,0,3437,0,1,0
17,F,Branca,1ano,vespertino,3.03,6.54,2,14,1,0,1135,0,2,1
17,M,Parda,3ano,matutino,6.79,3.69,0,16,0,1,681,1,1,1
16,M,Branca,2ano,matutino,9.22,4.97,0,11,0,0,500,0,2,0
18,F,Parda,3ano,noturno,4.82,7.74,1,14,0,0,500,1,2,0
15,M,Branca,1ano,matutino,6.42,4.4,0,7,0,0,3441,1,1,0
18,M,Parda,2ano,vespertino,4.07,6.41,2,14,1,0,1479,0,1,1
18,F,Parda,2ano,noturno,9.54,6.67,2,20,1,1,500,1,2,0
18,F,Parda,3ano,matutino,2.11,1.26,1,14,0,0,691,1,0,1
17,F,Parda,2ano,matutino,5.58,2.38,1,17,0,0,4298,1,2,0
17,F,Parda,2ano,matutino,5.9,8.53,1,9,0,0,1542,2,0,0
16,M,Branca,1ano,matutino,1.97,8.05,1,10,0,0,500,2,2,0
15,F,Branca,1ano,noturno,3.04,6.32,0,9,0,0,720,2,0,0
16,F,Parda,2ano,noturno,4.5,5.34,0,3,0,0,1110,0,3,0
17,M,Parda,2ano,matutino,5.13,4.97,1,8,0,0,2590,3,3,0
16,M,Preta,1ano,noturno,6.17,4.49,1,17,0,1,1120,2,0,0
21,M,Branca,3ano,matutino,1.25,4.45,4,27,2,0,3647,2,1,1
17,M,Amarela,3ano,noturno,7.4,5.1,0,16,0,1,1495,0,0,0
16,F,Amarela,1ano,noturno,5.14,9.19,1,15,0,1,500,1,3,0
17,M,Branca,2ano,matutino,6.21,4.88,1,21,0,0,1859,3,3,1
16,F,Branca,1ano,vespertino,5.29,5.88,1,10,0,0,1047,3,1,0
16,F,Branca,2ano,noturno,4.18,1.94,0,14,0,1,808,1,1,1
15,F,Parda,1ano,matutino,7.41,4.02,0,7,0,0,1661,2,2,0
17,F,Branca,2ano,matutino,8.4,5.0,1,9,0,0,993,1,2,0
17,F,Branca,3ano,vespertino,8.61,5.88,0,12,0,1,1423,0,3,0
18,F,Parda,3ano,matutino,6.82,5.26,1,13,0,1,797,3,1,0
15,F,Branca,1ano,matutino,3.64,1.93,0,6,0,0,772,0,1,1
18,M,Parda,3ano,matutino,5.07,6.27,1,18,0,1,2938,0,1,0
17,F,Branca,1ano,vespertino,4.28,6.8,2,17,1,0,1327,2,0,0
15,F,Parda,1ano,matutino,4.96,9.62,0,14,0,1,1681,2,0,0
16,F,Branca,2ano,vespertino,3.21,5.04,0,16,0,0,763,1,2,0
16,M,Branca,2ano,matutino,8.72,6.09,0,12,0,0,2839,2,1,0
17,F,Parda,3ano,matutino,5.95,5.2,0,15,0,1,1428,0,2,0
17,F,Branca,3ano,vespertino,4.44,5.77,0,9,0,0,924,1,2,0
15,F,Branca,1ano,matutino,7.04,6.43,0,12,0,0,3338,0,1,0
18,M,Branca,3ano,vespertino,5.05,7.65,1,19,0,0,924,1,1,0
17,M,Parda,1ano,matutino,5.94,6.64,2,17,1,0,1400,0,3,0
16,M,Parda,2ano,vespertino,4.13,3.88,0,20,0,1,500,2,2,1
15,F,Branca,1ano,matutino,3.96,3.56,0,12,0,0,734,1,2,1
19,M,Preta,3ano,noturno,7.93,4.55,2,19,1,1,2255,2,0,1
15,F,Branca,1ano,matutino,7.17,3.96,0,15,0,1,1163,2,0,0
16,F,Parda,1ano,noturno,8.48,4.37,1,9,0,0,1304,2,3,0
18,M,Parda,2ano,matutino,5.28,3.12,2,16,1,0,1127,3,1,1
17,M,Branca,3ano,matutino,5.8,7.56,0,13,0,1,1165,1,0,0
18,F,Parda,3ano,vespertino,6.93,4.56,1,11,0,0,786,2,2,0
19,F,Parda,3ano,matutino,4.7,5.07,2,18,1,0,831,0,0,1
17,F,Parda,3ano,vespertino,3.43,8.15,0,7,0,0,957,3,1,0
19,F,Parda,3ano,noturno,6.87,4.29,2,20,1,1,961,2,1,1
17,F,Parda,2ano,noturno,4.95,6.43,1,16,0,1,1754,0,1,1
17,M,Parda,1ano,vespertino,5.46,8.75,2,17,1,1,1708,2,2,1
18,M,Branca,3ano,noturno,8.83,2.62,1,22,0,1,3477,1,0,1
19,M,Parda,2ano,vespertino,4.81,6.31,3,19,1,0,2109,1,0,1
17,M,Branca,2ano,matutino,6.59,7.53,1,14,0,1,596,0,1,0
15,F,Preta,1ano,noturno,5.79,5.32,0,13,0,1,709,1,3,0
17,M,Parda,3ano,matutino,6.14,3.22,0,16,0,0,2551,1,0,0
17,F,Branca,1ano,matutino,2.54,5.46,2,22,1,0,2055,2,2,1
18,M,Parda,3ano,matutino,6.93,8.44,1,12,0,0,2783,1,3,0
15,M,Parda,1ano,matutino,9.1,3.98,0,14,0,1,1208,1,0,0
17,M,Parda,1ano,matutino,8.63,6.76,2,19,1,0,984,1,0,0
17,M,Branca,3ano,matutino,5.59,4.43,0,12,0,0,1593,0,0,0
16,M,Parda,1ano,vespertino,9.78,8.62,1,15,0,1,500,1,1,0
16,F,Branca,1ano,noturno,8.3,5.53,1,12,0,0,1034,3,3,0
16,M,Preta,2ano,noturno,5.66,3.18,0,20,0,1,5810,0,2,1
17,M,Parda,3ano,matutino,9.12,5.91,0,7,0,0,930,2,2,0
18,F,Branca,1ano,matutino,5.69,3.48,3,18,1,1,1196,1,3,1
15,M,Parda,1ano,vespertino,6.86,5.44,0,8,0,0,1030,0,1,0
18,F,Branca,3ano,matutino,8.87,6.75,1,21,0,0,4032,2,3,0
17,F,Branca,3ano,matutino,4.88,5.75,0,7,0,0,500,1,0,0
16,M,Parda,2ano,vespertino,5.74,6.9,0,7,0,0,2079,3,2,0
15,M,Branca,1ano,noturno,2.72,9.18,0,13,0,1,880,1,0,0
16,F,Branca,1ano,matutino,4.78,4.65,1,9,0,0,720,1,0,0
15,M,Parda,1ano,vespertino,7.02,5.73,0,10,0,1,500,3,1,0
17,M,Branca,1ano,vespertino,5.96,6.19,2,25,1,1,4777,0,2,1
16,M,Branca,2ano,noturno,7.22,6.96,0,14,0,1,2161,3,0,0
15,M,Branca,1ano,matutino,2.04,7.63,0,18,0,1,500,2,2,0
17,F,Parda,2ano,noturno,6.66,5.15,1,16,0,1,500,1,3,0
16,F,Parda,2ano,noturno,4.29,2.92,0,13,0,0,722,1,0,1
17,F,Parda,2ano,matutino,7.71,6.65,1,8,0,0,1807,0,0,0
16,M,Preta,1ano,vespertino,3.99,5.76,1,15,0,0,1093,3,2,0
19,F,Branca,3ano,vespertino,7.78,9.09,2,16,1,0,583,1,0,0
17,F,Parda,3ano,matutino,3.1,5.76,0,8,0,0,1136,1,0,0
17,F,Parda,3ano,vespertino,6.59,5.77,0,16,0,0,3341,2,1,0
16,F,Parda,1ano,matutino,5.96,5.39,1,18,0,0,1950,2,2,0
17,F,Parda,1ano,noturno,6.38,1.82,2,21,1,1,500,0,0,1
17,M,Branca,3ano,matutino,5.51,5.3,0,15,0,1,522,1,1,0
16,F,Branca,2ano,vespertino,7.52,4.56,0,16,0,0,1091,2,0,0
15,F,Parda,1ano,matutino,6.49,0.64,0,14,0,0,1349,2,0,0
16,M,Branca,2ano,vespertino,6.27,6.08,0,11,0,1,3453,2,0,0
17,M,Branca,2ano,vespertino,6.1,5.38,1,19,0,0,1202,1,1,0
17,M,Parda,3ano,vespertino,3.74,1.31,0,12,0,0,1865,1,0,1
16,F,Parda,1ano,vespertino,6.52,4.4,1,6,0,0,500,0,2,0
18,F,Parda,3ano,matutino,4.22,7.46,1,9,0,0,881,1,1,0
17,F,Parda,1ano,matutino,7.93,4.58,2,20,1,1,2119,2,2,1
16,F,Parda,2ano,vespertino,5.35,4.51,0,11,0,0,5490,1,0,0
16,M,Parda,2ano,matutino,5.79,4.68,0,11,0,0,500,3,3,0
17,F,Parda,1ano,noturno,7.8,7.72,2,20,1,0,1056,0,2,0
15,M,Branca,1ano,vespertino,4.96,8.94,0,8,0,0,500,1,1,0
16,F,Branca,2ano,noturno,5.06,7.93,0,17,0,1,1029,2,1,0
17,M,Parda,3ano,matutino,5.97,6.77,0,12,0,1,2788,3,1,0
17,F,Parda,2ano,vespertino,8.02,8.74,1,12,0,0,2536,0,1,0
17,M,Branca,3ano,matutino,7.63,3.99,0,13,0,1,1165,0,1,0
18,F,Parda,3ano,noturno,6.86,7.9,1,17,0,1,985,1,1,0
17,M,Branca,2ano,vespertino,2.95,7.81,1,11,0,0,9707,2,2,0
18,M,Parda,3ano,vespertino,7.92,1.26,1,8,0,0,1018,0,1,0
17,F,Branca,1ano,vespertino,4.11,7.0,2,15,1,0,779,1,0,0
15,M,Parda,1ano,matutino,6.23,10.0,0,16,0,0,771,0,2,0
17,M,Preta,3ano,vespertino,9.04,7.06,0,15,0,1,500,3,1,0
18,M,Parda,3ano,noturno,4.59,8.9,1,12,0,1,1720,0,0,0
16,M,Parda,1ano,matutino,7.75,5.87,1,15,0,1,2034,0,1,0
16,M,Branca,2ano,noturno,5.6,4.96,0,11,0,1,1978,1,1,1
16,M,Branca,2ano,noturno,2.91,5.78,0,10,0,0,2250,0,0,0
18,M,Preta,3ano,noturno,7.67,6.07,1,13,0,0,751,3,3,0
16,M,Parda,2ano,noturno,5.48,4.54,0,16,0,1,1061,2,3,0
16,M,Parda,2ano,matutino,4.89,6.05,0,12,0,0,3042,2,0,0
16,F,Indígena,2ano,vespertino,7.76,6.36,0,15,0,1,831,0,3,0
16,M,Branca,2ano,matutino,6.68,6.61,0,11,0,1,772,0,0,0
16,M,Parda,2ano,noturno,4.61,9.92,0,16,0,1,2683,0,2,0
17,F,Branca,3ano,matutino,3.15,7.75,0,9,0,0,640,0,0,0
16,M,Parda,2ano,noturno,5.67,5.69,0,15,0,1,500,1,1,0
17,M,Parda,1ano,matutino,5.31,6.01,2,19,1,1,522,1,2,1
15,F,Parda,1ano,matutino,6.04,8.59,0,4,0,0,10517,2,1,0
18,F,Branca,3ano,matutino,6.71,5.57,1,12,0,0,2708,1,0,0
18,M,Parda,3ano,vespertino,7.91,3.12,1,19,0,0,1990,3,3,0
18,M,Parda,1ano,matutino,7.96,4.77,3,20,1,1,571,1,1,1
16,M,Preta,1ano,matutino,10.0,6.79,1,19,0,0,1804,1,1,0
16,M,Parda,2ano,matutino,6.77,4.37,0,12,0,1,4697,0,2,1
17,F,Branca,1ano,matutino,4.07,5.61,2,16,1,0,1617,1,1,1
19,F,Preta,3ano,noturno,6.32,6.52,2,19,1,0,500,2,0,0
15,M,Parda,1ano,vespertino,5.14,5.75,0,21,0,1,1857,3,3,0
16,F,Branca,1ano,matutino,3.88,2.31,1,16,0,1,1065,0,0,1
18,F,Parda,3ano,matutino,5.19,5.72,1,10,0,0,1352,0,1,0
15,F,Branca,1ano,matutino,10.0,5.39,0,16,0,1,559,3,1,0
15,M,Parda,1ano,matutino,5.44,4.18,0,9,0,0,658,1,0,0
15,F,Parda,1ano,matutino,8.72,6.2,0,10,0,0,830,2,0,0
15,M,Branca,1ano,matutino,8.1,5.24,0,13,0,0,650,3,2,0
17,M,Branca,1ano,matutino,6.63,4.52,2,17,1,0,1156,0,2,1
15,M,Branca,1ano,matutino,8.08,4.9,0,7,0,0,701,0,1,0
15,M,Branca,1ano,noturno,6.94,3.84,0,9,0,0,4489,2,2,0
15,M,Preta,1ano,matutino,3.5,6.06,0,7,0,0,1795,2,1,0
17,M,Indígena,2ano,vespertino,7.08,4.07,1,18,0,0,2222,1,3,0
16,F,Parda,2ano,vespertino,6.17,4.47,0,13,0,1,1084,3,0,0
16,F,Preta,2ano,noturno,2.69,4.46,0,16,0,1,500,2,3,1
16,F,Parda,1ano,matutino,6.3,1.98,1,15,0,1,2371,0,3,0
16,F,Parda,2ano,noturno,5.93,4.37,0,13,0,0,1110,0,3,0
17,M,Branca,3ano,noturno,6.48,5.19,0,7,0,0,1691,2,0,0
18,F,Parda,3ano,noturno,10.0,5.37,1,13,0,0,1144,3,1,0
16,F,Indígena,1ano,noturno,9.35,8.46,1,17,0,1,500,0,2,0
16,M,Parda,1ano,matutino,6.44,6.32,1,19,0,0,858,0,1,0
15,F,Parda,1ano,noturno,8.04,5.55,0,10,0,0,625,0,2,0
15,F,Branca,1ano,noturno,5.18,6.42,0,4,0,0,1430,0,1,0
17,F,Branca,2ano,matutino,4.69,5.85,1,13,0,0,1748,0,0,0
16,F,Parda,2ano,matutino,7.57,6.67,0,15,0,0,6793,3,0,0
16,F,Branca,1ano,noturno,5.35,4.23,1,19,0,1,1760,0,3,0
16,F,Branca,2ano,matutino,6.69,5.34,0,13,0,1,774,0,1,0
17,F,Parda,2ano,noturno,4.68,3.65,1,30,0,1,864,3,1,1
15,M,Preta,1ano,matutino,6.15,5.59,0,12,0,0,1830,0,2,0
19,M,Parda,3ano,vespertino,7.38,4.75,2,18,1,0,2382,0,2,1
15,M,Parda,1ano,matutino,8.19,7.99,0,9,0,0,500,1,1,0
17,F,Branca,3ano,vespertino,4.91,6.14,0,13,0,0,994,0,0,0
15,M,Parda,1ano,vespertino,9.49,9.47,0,10,0,0,1070,1,0,0
17,M,Parda,3ano,noturno,6.74,6.83,0,9,0,0,500,1,3,0
18,M,Parda,3ano,matutino,6.13,9.34,1,9,0,0,2156,1,1,0
17,M,Parda,3ano,matutino,6.65,9.03,0,10,0,0,1451,0,1,0
17,F,Branca,3ano,matutino,6.3,4.75,0,10,0,1,1035,2,1,1
18,F,Parda,3ano,matutino,6.62,8.13,1,16,0,1,1472,1,2,0
16,M,Parda,2ano,noturno,6.79,7.36,0,12,0,1,2044,3,0,0
17,F,Parda,3ano,matutino,6.15,2.08,0,18,0,1,5694,2,2,0
15,F,Parda,1ano,matutino,8.93,3.57,0,16,0,1,2046,0,1,0
16,F,Parda,2ano,noturno,6.09,4.32,0,8,0,0,500,2,1,0
16,F,Preta,2ano,matutino,3.06,4.42,0,10,0,0,11568,0,1,1
17,F,Parda,3ano,matutino,9.46,5.91,0,13,0,0,500,0,2,0
16,F,Branca,2ano,vespertino,6.76,6.08,0,6,0,0,1655,0,1,0
16,F,Parda,2ano,matutino,3.27,4.76,0,17,0,0,1027,2,2,1
16,F,Parda,2ano,noturno,4.15,2.98,0,15,0,0,1102,1,1,1
15,F,Parda,1ano,vespertino,5.59,6.7,0,14,0,0,1641,0,0,0
16,M,Branca,1ano,matutino,6.91,1.52,1,14,0,0,1744,2,1,0
16,M,Parda,2ano,vespertino,0.0,3.34,0,11,0,0,3656,3,1,1
16,M,Parda,2ano,noturno,0.82,5.4,0,14,0,1,715,2,3,1
17,F,Parda,1ano,matutino,6.18,1.71,2,14,1,0,1668,3,2,1
17,F,Branca,1ano,vespertino,8.73,5.43,2,17,1,0,1970,0,1,0
16,M,Parda,1ano,matutino,8.7,4.06,1,20,0,1,7964,1,2,0
16,M,Parda,1ano,vespertino,4.01,7.67,1,14,0,0,1807,0,3,0
16,F,Branca,2ano,vespertino,7.17,3.02,0,14,0,0,500,1,1,0
16,M,Parda,2ano,matutino,7.14,6.87,0,11,0,0,3639,3,2,0
15,M,Parda,1ano,vespertino,6.46,7.14,0,9,0,0,850,3,1,0
18,F,Parda,3ano,matutino,8.44,7.16,1,14,0,1,608,2,1,0
18,M,Parda,3ano,vespertino,4.48,6.46,1,16,0,0,3502,2,1,0
17,F,Branca,2ano,vespertino,6.77,7.77,1,15,0,1,1347,2,0,0
17,F,Branca,1ano,matutino,9.9,5.92,2,26,1,1,1033,1,2,1
16,F,Preta,2ano,matutino,5.34,3.94,0,7,0,0,4669,1,0,0
18,M,Branca,3ano,noturno,5.06,9.36,1,20,0,1,804,2,2,0
16,M,Preta,2ano,matutino,7.53,7.19,0,11,0,0,799,1,0,0
20,M,Parda,3ano,matutino,6.75,6.2,3,18,1,1,1803,1,2,1
16,M,Branca,2ano,matutino,2.37,6.28,0,10,0,0,500,2,3,0
17,M,Branca,2ano,vespertino,8.1,5.65,1,22,0,1,1378,2,1,1
15,F,Branca,1ano,matutino,3.58,6.2,0,14,0,1,1291,2,2,0
17,F,Parda,3ano,noturno,7.66,8.54,0,14,0,0,612,1,0,0
15,F,Branca,1ano,vespertino,5.77,3.7,0,11,0,0,1195,1,1,0
16,F,Parda,2ano,matutino,5.95,7.18,0,11,0,0,1491,0,1,0
17,M,Parda,3ano,vespertino,6.17,4.6,0,11,0,0,1170,0,3,0
17,M,Preta,1ano,matutino,4.28,1.95,2,18,1,0,2328,0,1,1
17,M,Parda,2ano,matutino,8.45,1.56,1,8,0,0,1504,0,0,0
15,F,Parda,1ano,vespertino,6.24,3.18,0,13,0,0,1058,2,3,0
