idade,serie,turno,score_risco,nivel_risco,evasao
18,3ano,matutino,0.0035256222,Baixo,0
17,3ano,matutino,0.0022864921,Baixo,0
17,3ano,matutino,0.5429178,Alto,1
18,3ano,matutino,0.0062611504,Baixo,0
16,2ano,noturno,0.0023772144,Baixo,0
17,3ano,matutino,0.63254714,Alto,0
15,1ano,matutino,0.5223091,Alto,0
16,2ano,noturno,0.16854897,Baixo,0
16,2ano,matutino,0.91563976,Alto,1
17,3ano,matutino,0.0013419879,Baixo,0
16,2ano,vespertino,0.0010077803,Baixo,0
16,2ano,matutino,0.964201,Alto,1
16,2ano,noturno,0.9849534,Alto,1
15,1ano,vespertino,0.0024829828,Baixo,0
16,1ano,matutino,0.17399637,Baixo,0
16,2ano,vespertino,0.8776641,Alto,1
16,2ano,noturno,0.91652274,Alto,1
17,1ano,matutino,0.9931351,Alto,1
17,1ano,vespertino,0.26444292,Médio,0
16,1ano,matutino,0.37434223,Médio,0
16,1ano,vespertino,0.058856204,Baixo,0
16,2ano,vespertino,0.120358005,Baixo,0
16,2ano,matutino,0.0013643841,Baixo,0
15,1ano,vespertino,0.0007141373,Baixo,0
18,3ano,matutino,0.0063960105,Baixo,0
18,3ano,vespertino,0.047656473,Baixo,0
17,2ano,vespertino,0.004820046,Baixo,0
17,1ano,matutino,0.9964126,Alto,1
16,2ano,matutino,0.09869428,Baixo,0
18,3ano,noturno,0.057699002,Baixo,0
16,2ano,matutino,0.0013680134,Baixo,0
20,3ano,matutino,0.90996885,Alto,1
16,2ano,matutino,0.1484783,Baixo,0
17,2ano,vespertino,0.8441015,Alto,1
15,1ano,matutino,0.27552846,Médio,0
17,3ano,noturno,0.0026097626,Baixo,0
15,1ano,vespertino,0.12613173,Baixo,0
16,2ano,matutino,0.0022351418,Baixo,0
17,3ano,vespertino,0.288115,Médio,0
17,1ano,matutino,0.99637777,Alto,1
17,2ano,matutino,0.2767609,Médio,0
15,1ano,vespertino,0.21195652,Baixo,0
18,3ano,matutino,0.16961661,Baixo,0
16,1ano,noturno,0.21648844,Baixo,0
17,3ano,vespertino,0.003396025,Baixo,0
16,1ano,matutino,0.92356217,Alto,1
19,3ano,noturno,0.99628156,Alto,1
17,3ano,vespertino,0.03459872,Baixo,0
17,2ano,matutino,0.0020484456,Baixo,0
18,3ano,vespertino,0.0033720743,Baixo,0
20,3ano,noturno,0.9973277,Alto,1
18,3ano,matutino,0.08680564,Baixo,0
15,1ano,matutino,0.007548252,Baixo,0
16,2ano,vespertino,0.0029750848,Baixo,0
18,1ano,matutino,0.17023721,Baixo,0
16,2ano,matutino,0.9524658,Alto,1
16,1ano,vespertino,0.0023936897,Baixo,0
16,2ano,noturno,0.30226487,Médio,0
18,2ano,vespertino,0.108257204,Baixo,0
18,2ano,matutino,0.999008,Alto,1
16,2ano,matutino,0.0020910546,Baixo,0
17,3ano,matutino,0.26247063,Médio,0
17,3ano,matutino,0.5102441,Alto,0
16,2ano,vespertino,0.62839556,Alto,1
16,2ano,matutino,0.00060600037,Baixo,0
17,3ano,noturno,0.0035847127,Baixo,0
15,1ano,vespertino,0.10605206,Baixo,0
15,1ano,vespertino,0.00086626405,Baixo,0
16,1ano,noturno,0.99863225,Alto,1
17,2ano,vespertino,0.002554227,Baixo,0
17,2ano,noturno,0.6906629,Alto,1
17,3ano,noturno,0.004502685,Baixo,0
17,2ano,vespertino,0.98733366,Alto,1
15,1ano,matutino,0.036943354,Baixo,0
18,3ano,matutino,0.20547067,Baixo,0
17,3ano,noturno,0.008375208,Baixo,0
17,1ano,matutino,0.9481535,Alto,1
17,1ano,noturno,0.9936069,Alto,1
15,1ano,matutino,0.04701561,Baixo,0
16,1ano,vespertino,0.0050832913,Baixo,0
16,1ano,matutino,0.98820776,Alto,1
17,3ano,noturno,0.003355033,Baixo,0
16,2ano,matutino,0.60505897,Alto,1
17,2ano,matutino,0.96254283,Alto,1
20,3ano,noturno,0.23858309,Baixo,0
16,2ano,matutino,0.97746867,Alto,1
19,3ano,matutino,0.9906122,Alto,1
17,3ano,noturno,0.006823179,Baixo,0
16,2ano,noturno,0.99014217,Alto,1
18,2ano,matutino,0.9931744,Alto,1
20,3ano,vespertino,0.9908214,Alto,1
18,3ano,matutino,0.0038316355,Baixo,0
19,3ano,matutino,0.104474224,Baixo,0
15,1ano,vespertino,0.018252047,Baixo,0
17,3ano,matutino,0.039885715,Baixo,0
16,2ano,vespertino,0.039062135,Baixo,0
15,1ano,matutino,0.27265105,Médio,0
17,2ano,noturno,0.61826503,Alto,0
17,2ano,vespertino,0.0057335617,Baixo,0
17,1ano,matutino,0.9938267,Alto,1
19,2ano,noturno,0.99945873,Alto,1
17,3ano,noturno,0.984899,Alto,1
15,1ano,matutino,0.25371656,Médio,0
18,2ano,noturno,0.9986889,Alto,1
18,2ano,matutino,0.9951786,Alto,1
16,1ano,matutino,0.006713319,Baixo,0
18,3ano,matutino,0.002897446,Baixo,0
18,3ano,matutino,0.7288743,Alto,1
15,1ano,vespertino,0.06404738,Baixo,0
17,3ano,vespertino,0.0019240865,Baixo,0
17,3ano,noturno,0.0074871443,Baixo,0
15,1ano,matutino,0.657669,Alto,0
18,3ano,matutino,0.3005725,Médio,0
15,1ano,matutino,0.16924572,Baixo,0
17,3ano,matutino,0.45512572,Alto,0
16,2ano,noturno,0.006536973,Baixo,0
17,2ano,vespertino,0.0025060093,Baixo,0
15,1ano,noturno,0.009902771,Baixo,0
17,3ano,vespertino,0.36272547,Médio,0
15,1ano,matutino,0.016167149,Baixo,0
15,1ano,matutino,0.1293795,Baixo,0
15,1ano,matutino,0.8849937,Alto,0
19,3ano,noturno,0.99899083,Alto,1
15,1ano,matutino,0.58736837,Alto,0
18,3ano,matutino,0.065310374,Baixo,0
17,2ano,vespertino,0.0025467046,Baixo,0
16,1ano,matutino,0.99879265,Alto,1
16,1ano,vespertino,0.002801377,Baixo,0
15,1ano,matutino,0.0027513418,Baixo,0
18,2ano,vespertino,0.23749663,Baixo,0
18,3ano,matutino,0.15133491,Baixo,0
16,1ano,noturno,0.002013515,Baixo,0
17,3ano,vespertino,0.00058934,Baixo,0
16,1ano,matutino,0.95469207,Alto,1
17,3ano,noturno,0.0019497975,Baixo,0
19,3ano,noturno,0.7024396,Alto,0
17,3ano,vespertino,0.0012818755,Baixo,0
16,2ano,noturno,0.024550045,Baixo,0
17,3ano,noturno,0.5775376,Alto,0
15,1ano,matutino,0.00063715177,Baixo,0
15,1ano,matutino,0.1821422,Baixo,0
17,1ano,matutino,0.99916625,Alto,1
17,2ano,vespertino,0.90473425,Alto,1
17,3ano,noturno,0.8848719,Alto,1
16,2ano,vespertino,0.005296657,Baixo,0
17,3ano,matutino,0.004858171,Baixo,0
15,1ano,noturno,0.6630238,Alto,0
17,3ano,vespertino,0.002241202,Baixo,0
16,1ano,matutino,0.09867257,Baixo,0
15,1ano,noturno,0.007871719,Baixo,0
16,2ano,matutino,0.15292232,Baixo,0
17,3ano,vespertino,0.0017400169,Baixo,0
16,2ano,vespertino,0.014859431,Baixo,0
15,1ano,noturno,0.0024219262,Baixo,0
16,2ano,matutino,0.099752754,Baixo,0
16,1ano,matutino,0.0041574202,Baixo,0
17,3ano,vespertino,0.0025171211,Baixo,0
17,2ano,noturno,0.0040440364,Baixo,0
15,1ano,matutino,0.94596845,Alto,1
15,1ano,matutino,0.026419012,Baixo,0
16,1ano,noturno,0.99688345,Alto,1
19,3ano,noturno,0.7754118,Alto,0
16,2ano,matutino,0.056616314,Baixo,0
20,3ano,matutino,0.9942773,Alto,1
16,2ano,vespertino,0.82772124,Alto,0
16,2ano,vespertino,0.95445764,Alto,1
15,1ano,vespertino,0.61241674,Alto,1
18,3ano,noturno,0.19177072,Baixo,0
15,1ano,matutino,0.039242055,Baixo,0
16,2ano,noturno,0.99669826,Alto,1
17,2ano,matutino,0.007168087,Baixo,0
16,2ano,noturno,0.0028445187,Baixo,0
17,3ano,matutino,0.18678223,Baixo,0
16,1ano,matutino,0.0017589343,Baixo,0
16,2ano,matutino,0.17592815,Baixo,0
16,2ano,matutino,0.001466603,Baixo,0
16,2ano,matutino,0.0034124723,Baixo,0
15,1ano,vespertino,0.9173785,Alto,1
15,1ano,noturno,0.8926135,Alto,1
15,1ano,vespertino,0.025734628,Baixo,0
15,1ano,vespertino,0.0006370164,Baixo,0
16,2ano,matutino,0.6640451,Alto,0
17,2ano,noturno,0.014051448,Baixo,0
16,2ano,matutino,0.009437248,Baixo,0
16,2ano,matutino,0.61625016,Alto,0
18,2ano,matutino,0.98902446,Alto,1
15,1ano,matutino,0.00080981146,Baixo,0
16,2ano,vespertino,0.0061736214,Baixo,0
17,1ano,matutino,0.5325733,Alto,0
17,1ano,matutino,0.4604639,Alto,0
16,2ano,noturno,0.0041431696,Baixo,0
16,2ano,matutino,0.072120726,Baixo,0
15,1ano,vespertino,0.001351637,Baixo,0
16,2ano,matutino,0.49653235,Alto,1
17,2ano,noturno,0.014634334,Baixo,0
17,2ano,vespertino,0.008813363,Baixo,0
17,2ano,matutino,0.0018984951,Baixo,0
16,2ano,noturno,0.8980861,Alto,1
16,1ano,matutino,0.0038426623,Baixo,0
17,3ano,matutino,0.30512574,Médio,0
18,2ano,vespertino,0.9375819,Alto,1
16,2ano,vespertino,0.0020710179,Baixo,0
16,2ano,matutino,0.004464212,Baixo,0
15,1ano,matutino,0.0030380085,Baixo,0
16,2ano,matutino,0.16411646,Baixo,0
17,3ano,vespertino,0.003122712,Baixo,0
17,3ano,noturno,0.88534755,Alto,1
17,3ano,matutino,0.03600245,Baixo,0
16,2ano,noturno,0.019018944,Baixo,0
16,2ano,matutino,0.004088332,Baixo,0
17,3ano,noturno,0.70728177,Alto,1
16,1ano,noturno,0.75381565,Alto,0
18,3ano,vespertino,0.90584964,Alto,0
16,2ano,matutino,0.005075072,Baixo,0
15,1ano,matutino,0.28678834,Médio,0
16,1ano,matutino,0.019975461,Baixo,0
17,3ano,vespertino,0.911441,Alto,0
15,1ano,noturno,0.0032129318,Baixo,0
15,1ano,matutino,0.043964915,Baixo,0
18,1ano,matutino,0.99732035,Alto,1
15,1ano,matutino,0.0011526726,Baixo,0
15,1ano,vespertino,0.8584978,Alto,1
17,3ano,vespertino,0.6578432,Alto,0
15,1ano,matutino,0.14154926,Baixo,0
17,3ano,noturno,0.6413353,Alto,0
17,3ano,matutino,0.0019120213,Baixo,0
16,2ano,vespertino,0.02923013,Baixo,0
15,1ano,matutino,0.9931994,Alto,1
17,2ano,matutino,0.123913005,Baixo,0
15,1ano,vespertino,0.98770463,Alto,1
17,1ano,vespertino,0.9923415,Alto,1
17,3ano,matutino,0.38723135,Alto,0
18,3ano,noturno,0.50260967,Alto,0
17,3ano,vespertino,0.002594611,Baixo,0
17,1ano,matutino,0.97754955,Alto,1
17,2ano,noturno,0.010556598,Baixo,0
16,2ano,noturno,0.9869359,Alto,1
17,2ano,matutino,0.00479223,Baixo,0
16,2ano,noturno,0.0022713728,Baixo,0
15,1ano,noturno,0.9782005,Alto,0
15,1ano,matutino,0.07456443,Baixo,0
17,2ano,vespertino,0.004909823,Baixo,0
15,1ano,matutino,0.94353944,Alto,1
15,1ano,vespertino,0.000882492,Baixo,0
18,3ano,noturno,0.2702138,Médio,0
18,3ano,matutino,0.0025966405,Baixo,0
16,2ano,vespertino,0.0048089107,Baixo,0
17,3ano,matutino,0.0021620246,Baixo,0
19,3ano,vespertino,0.16889223,Baixo,0
15,1ano,noturno,0.3302973,Médio,0
18,2ano,matutino,0.9958002,Alto,1
17,2ano,vespertino,0.0034319924,Baixo,0
15,1ano,matutino,0.0041521606,Baixo,0
17,3ano,vespertino,0.002583756,Baixo,0
16,2ano,vespertino,0.0015403508,Baixo,0
16,2ano,vespertino,0.00056375214,Baixo,0
16,1ano,matutino,0.0026670294,Baixo,0
15,1ano,vespertino,0.94504297,Alto,1
18,3ano,vespertino,0.79997826,Alto,1
16,1ano,vespertino,0.0016536224,Baixo,0
16,1ano,vespertino,0.06697817,Baixo,0
15,1ano,noturno,0.005541607,Baixo,0
17,2ano,matutino,0.99116874,Alto,1
17,2ano,matutino,0.17875786,Baixo,0
17,2ano,noturno,0.7337532,Alto,0
15,1ano,matutino,0.0010689674,Baixo,0
15,1ano,noturno,0.90900815,Alto,1
17,3ano,vespertino,0.0018840762,Baixo,0
16,2ano,noturno,0.006084053,Baixo,0
16,2ano,vespertino,0.00089340564,Baixo,0
16,2ano,noturno,0.2505473,Médio,0
17,3ano,vespertino,0.004938902,Baixo,0
15,1ano,vespertino,0.63784826,Alto,0
15,1ano,matutino,0.0008173866,Baixo,0
16,2ano,matutino,0.92144233,Alto,1
15,1ano,matutino,0.115058,Baixo,0
19,3ano,noturno,0.83409894,Alto,1
16,2ano,matutino,0.0049749613,Baixo,0
17,3ano,noturno,0.246983,Baixo,0
17,3ano,vespertino,0.0006888837,Baixo,0
16,2ano,matutino,0.4000199,Alto,1
17,3ano,noturno,0.7595827,Alto,0
16,2ano,matutino,0.36226192,Médio,1
17,3ano,vespertino,0.9436568,Alto,1
15,1ano,vespertino,0.94473606,Alto,1
19,2ano,matutino,0.99551505,Alto,1
16,2ano,matutino,0.0014940113,Baixo,0
16,1ano,vespertino,0.90216774,Alto,1
16,2ano,matutino,0.30280426,Médio,0
17,3ano,noturno,0.0013808865,Baixo,0
16,2ano,vespertino,0.28356743,Médio,0
17,1ano,matutino,0.22664054,Baixo,0
16,1ano,matutino,0.40447474,Alto,0
15,1ano,matutino,0.0029269822,Baixo,0
15,1ano,noturno,0.703293,Alto,0
19,3ano,vespertino,0.9992829,Alto,1
16,2ano,matutino,0.3051198,Médio,0
16,1ano,vespertino,0.028170161,Baixo,0
17,2ano,vespertino,0.9952513,Alto,1
15,1ano,vespertino,0.09099111,Baixo,0
15,1ano,matutino,0.0014162355,Baixo,0
17,2ano,matutino,0.9269249,Alto,1
16,2ano,matutino,0.9939657,Alto,1
18,3ano,vespertino,0.9856251,Alto,1
17,2ano,vespertino,0.0020380062,Baixo,0
16,2ano,matutino,0.001910456,Baixo,0
17,3ano,matutino,0.13225545,Baixo,0
18,3ano,vespertino,0.0018097346,Baixo,0
20,3ano,matutino,0.99231905,Alto,1
18,3ano,vespertino,0.29120204,Médio,0
